refrigerant,bore_mm,season,hour,E_ac_kWh,E_vent_kWh
R1234yf,40.0,spring,11,0.8625232289460572,0.5979764933590263
R1234yf,40.0,spring,12,0.8218869978525977,0.5979764933590263
R1234yf,40.0,spring,13,1.0309831171764163,0.7287206166987829
R1234yf,40.0,spring,14,0.8477247740763311,0.5979764933590263
R1234yf,40.0,spring,15,0.8068102945305401,0.5979764933590263
R1234yf,40.0,spring,16,0.9257291467525263,0.6570985550289046
R1234yf,40.0,spring,17,0.7460999364069669,0.5388544316891479
R1234yf,40.0,spring,18,0.6158195928403646,0.46723237001926965
R1234yf,40.0,spring,19,0.6446582074677916,0.4422323700192696
R1234yf,40.0,spring,20,0.6643567896027128,0.4297323700192697
R1234yf,40.0,spring,21,0.6575189025563531,0.4297323700192697
R1234yf,40.0,spring,22,0.23018509629555256,0.24324412333975653
R1234yf,40.0,spring,23,0.0,0.14999999999999997
R1234yf,40.0,summer,0,0.4732635334510407,0.2864882466795131
R1234yf,40.0,summer,1,0.587620727335227,0.3581103083493914
R1234yf,40.0,summer,2,0.580869334492105,0.3581103083493914
R1234yf,40.0,summer,3,0.5560609732849159,0.37061030834939135
R1234yf,40.0,summer,4,0.7635186242639191,0.5388544316891479
R1234yf,40.0,summer,5,0.7251235648913965,0.526354431689148
R1234yf,40.0,summer,6,0.8390621782367395,0.5979764933590263
R1234yf,40.0,summer,7,0.9629048004961831,0.6695985550289045
R1234yf,40.0,summer,8,0.8572553508455429,0.5854764933590262
R1234yf,40.0,summer,9,1.085000739413402,0.7162206166987828
R1234yf,40.0,summer,10,1.0954516281550681,0.7162206166987828
R1234yf,40.0,summer,11,0.9215904075420901,0.5729764933590262
R1234yf,40.0,summer,12,1.1650728787026852,0.7162206166987828
R1234yf,40.0,summer,13,1.0642268150470824,0.6445985550289045
R1234yf,40.0,summer,14,1.0881272089077965,0.6445985550289045
R1234yf,40.0,summer,15,1.1960083572420812,0.7162206166987828
R1234yf,40.0,summer,16,1.191884660603311,0.7162206166987828
R1234yf,40.0,summer,17,0.9533819360271135,0.5729764933590262
R1234yf,40.0,summer,18,0.9522273987701296,0.5729764933590262
